row,clave_programa,programa_educativo,nivel_educativo,campo_clasificacion,campo_amplio,campo_especifico,campo_detallado,ciclo
276,6093201005,Especialidad en Prótesis Maxilofacial,Especialidad,093201,090000,093000,093200,
277,6093202001,Especialidad en Endodoncia,Especialidad,093202,090000,093000,093200,
278,6093203005,Especialidad en Odontopediatría,Especialidad,093203,090000,093000,093200,
279,6093204001,Especialidad en Ortodoncia,Especialidad,093204,090000,093000,093200,
280,6093205004,Especialidad en Periodoncia,Especialidad,093205,090000,093000,093200,
281,6093206003,Especialidad en Prostodoncia,Especialidad,093206,090000,093000,093200,
282,6093207002,Especialidad en Patología y Medicina Bucal,Especialidad,093207,090000,093000,093200,
283,6095600002,Especialidad en Epidemiología,Especialidad,095600,090000,095000,095600,
284,7011000002,Maestría en Educación Ambiental,Maestría,011000,010000,011000,011000,
285,7011000042,Maestría en Innovación Social y Gestión del Bienestar,Maestría,011000,010000,011000,011000,
286,7011000094,Maestría en Inclusión y Atención a la Diversidad,Maestría,011000,010000,011000,011000,2024-2025
287,7011200033,Maestría en Investigación Educativa,Maestría,011200,010000,011000,011200,
288,7011200037,Maestría en Planeación de la Educación Superior,Maestría,011200,010000,011000,011200,
289,7011200077,Maestría en Gestión y Políticas de la Educación Superior,Maestría,011200,010000,011000,011200,
290,7011200088,Maestría en Procesos Innovadores en el Aprendizaje,Maestría,011200,010000,011000,011200,
291,7011400011,Maestría en Tecnologías para el Aprendizaje,Maestría,011400,010000,011000,011400,
292,7011400029,Maestría en Gestión del Aprendizaje en Ambientes Virtuales,Maestría,011400,010000,011000,011400,
293,7011500003,Maestría en Educación,Maestría,011500,010000,011000,011500,
294,7011500004,Maestría en Investigación en Ciencias de la Educación,Maestría,011500,010000,011000,011500,
295,7012000087,Maestría en Estudios del Turismo,Maestría,012000,010000,012000,012000,
296,7012400001,Maestría en Docencia para la Educación Media Superior,Maestría,012400,010000,012000,012400,
297,7012500034,Maestría en Educación Superior Internacional,Maestría,012500,010000,012000,012500,
298,7012601008,Maestría en Educación Física y Deporte,Maestría,012601,010000,012000,012600,
299,7012601010,Maestría en Ciencias de la Educación Física y del Deporte,Maestría,012601,010000,012000,012600,
300,7012602002,Maestría en Didáctica de las Artes,Maestría,012602,010000,012000,012600,
301,7012602009,Maestría en Educación y Expresión para las Artes,Maestría,012602,010000,012000,012600,
302,7012603017,Maestría en la Enseñanza del Inglés como Lengua Extranjera,Maestría,012603,010000,012000,012600,
303,7012604029,Maestría en Enseñanza de las Matemáticas,Maestría,012604,010000,012000,012600,
304,7012604064,Maestría en Ciencia y Tecnología,Maestría,012604,010000,012000,012600,
305,7021000014,Maestría en Gestión de la Cultura,Maestría,021000,020000,021000,021000,
306,7021300007,Maestría en Etnomusicología,Maestría,021300,020000,021000,021300,
307,7021400005,Maestría en Estudios Cinematográficos,Maestría,021400,020000,021000,021400,
308,7021400038,Maestría en Diseño de Información y Comunicación Digital,Maestría,021400,020000,021000,021400,
309,7021600006,Maestría en Diseño y Desarrollo de Nuevos Productos,Maestría,021600,020000,021000,021600,
310,7021600019,Maestría en Diseño e Innovación Industrial,Maestría,021600,020000,021000,021600,
311,7021600021,Maestría en Diseño y Desarrollo de Nuevos Productos,Maestría,021600,020000,021000,021600,
312,7022200011,Maestría en Estudios de las Lenguas y Culturas Inglesas,Maestría,022200,020000,022000,022200,
313,7022200019,"Maestría Interinstitucional en Deutsch Als Fremdsprache: Estudios Interculturales de Lengua, Literatura y Cultura Alemanas",Maestría,022200,020000,022000,022200,
314,7022300005,Maestría en Estudios de Literatura Mexicana,Maestría,022300,020000,022000,022300,
315,7022300015,Maestría en Literaturas Comparadas,Maestría,022300,020000,022000,022300,
316,7022300017,Maestría en Literatura del Siglo XX,Maestría,022300,020000,022000,022300,
317,7022300034,Maestría en Literaturas Interamericanas,Maestría,022300,020000,022000,022300,
318,7022300036,Maestría en Estudios en Literacidad,Maestría,022300,020000,022000,022300,
319,7022300037,Maestría en Estudios Críticos del Lenguaje,Maestría,022300,020000,022000,022300,
320,7022400002,Maestría en Lingüística Aplicada,Maestría,022400,020000,022000,022400,
321,7022400011,Maestría en Lexicografia y Producción Editorial,Maestría,022400,020000,022000,022400,2024-2025
322,7022500008,Maestría en Estudios Mesoamericanos,Maestría,022500,020000,022000,022500,
323,7022500015,Maestría en Historia de México,Maestría,022500,020000,022000,022500,
324,7022500032,Maestría en Historia Cultural,Maestría,022500,020000,022000,022500,
325,7022600002,Maestría en Bioética,Maestría,022600,020000,022000,022600,
326,7022600008,Maestría en Estudios Filosóficos,Maestría,022600,020000,022000,022600,
327,7031000001,Maestría en Ciencias Sociales,Maestría,031000,030000,031000,031000,
328,7031000012,Maestría en Literacidad,Maestría,031000,030000,031000,031000,
329,7031000052,Maestría en Estudios Transdisciplinares en Ciencia y Tecnología,Maestría,031000,030000,031000,031000,
330,7031000067,"Maestría en Desarrollo Humano, Educación e Interculturalidad",Maestría,031000,030000,031000,031000,
331,7031100001,Maestría en Psicología Educativa,Maestría,031100,030000,031000,031100,
332,7031100005,Maestría en Ciencia del Comportamiento,Maestría,031100,030000,031000,031100,
333,7031100028,Maestría en Psicología,Maestría,031100,030000,031000,031100,
334,7031100030,Maestría en Psicología Clínica,Maestría,031100,030000,031000,031100,
335,7031100041,Maestría en Psicología Con Orientación en Psicología Social,Maestría,031100,030000,031000,031100,
336,7031100043,Maestría en Psicología de la Salud,Maestría,031100,030000,031000,031100,
337,7031100057,Maestría en Psicología Social,Maestría,031100,030000,031000,031100,
338,7031100103,Maestría en Terapia Familiar,Maestría,031100,030000,031000,031100,
339,7031100176,Maestría en Psicología con Orientación en Calidad de Vida y Salud,Maestría,031100,030000,031000,031100,
340,7031100188,Maestría en Neuropsicología,Maestría,031100,030000,031000,031100,
341,7031100252,Maestría en Psicología con Orientación en Psicología Social,Maestría,031100,030000,031000,031100,
342,7031100253,Maestría en Psicología con Orientación en Psicología Ecológica y Conductual,Maestría,031100,030000,031000,031100,
343,7031200009,Maestría en Antropología,Maestría,031200,030000,031000,031200,
344,7031200016,Maestría en Ciencias Antropológicas,Maestría,031200,030000,031000,031200,
345,7031200035,Maestría en Estudios de Género,Maestría,031200,030000,031000,031200,
346,7031200038,Maestría en Estudios Regionales,Maestría,031200,030000,031000,031200,
347,7031200043,Maestría en Gestión y Desarrollo Social,Maestría,031200,030000,031000,031200,
348,7031200071,Maestría en Estudios Socioterritoriales,Maestría,031200,030000,031000,031200,
349,7031200087,"Maestría en Estudios Francófonos: Pedagogía, Lingüística y Estudios Interculturales",Maestría,031200,030000,031000,031200,
350,7031200093,Maestría en Estudios Rurales,Maestría,031200,030000,031000,031200,
351,7031300005,Maestría en Ciencia Política,Maestría,031300,030000,031000,031300,
352,7031300023,Maestría en Políticas Públicas,Maestría,031300,030000,031000,031300,
353,7031300041,Maestría en Transparencia y Protección de Datos Personales,Maestría,031300,030000,031000,031300,
354,7031300048,Maestría en Ciencia Política con Orientación en Democracias Contemporáneas,Maestría,031300,030000,031000,031300,
355,7031300078,Maestría en Relaciones Internacionales de Gobiernos y Actores Locales,Maestría,031300,030000,031000,031300,
356,7031300118,Maestría en Ciencia de la Ciudad,Maestría,031300,030000,031000,031300,
357,7031400008,Maestría en Economía,Maestría,031400,030000,031000,031400,
358,7031400038,Maestría en Relaciones Económicas Internacionales y Cooperación,Maestría,031400,030000,031000,031400,
359,7031500022,Maestría en Gerontología,Maestría,031500,030000,031000,031500,
360,7031500027,Maestría en Trabajo Social,Maestría,031500,030000,031000,031500,
361,7031500062,Maestría en Resolución de Conflictos,Maestría,031500,030000,031000,031500,
362,7031500078,Maestría en Neurociencias De Las Adicciones,Maestría,031500,030000,031000,031500,
363,7032100004,Maestría en Comunicación,Maestría,032100,030000,032000,032100,
364,7032100037,Maestría en Periodismo Digital,Maestría,032100,030000,032000,032100,
365,7032100049,Maestría en Global Politics and Transpacific Studies,Maestría,032100,030000,032000,032100,
366,7033100026,Maestría en Derecho,Maestría,033100,030000,033000,033100,
367,7033200002,Maestría en Ciencias Forenses,Maestría,033200,030000,033000,033200,
368,7033200014,Maestría en Ciencias Forenses y Criminología,Maestría,033200,030000,033000,033200,
369,7033200077,Maestría en Genética Forense e Identificación Humana,Maestría,033200,030000,033000,033200,
370,7041100018,Maestría en Comercio y Mercados Internacionales,Maestría,041100,040000,041000,041100,
371,7041100024,Maestría en Negocios Internacionales,Maestría,041100,040000,041000,041100,
372,7041100026,Maestría en Negocios y Estudios Económicos,Maestría,041100,040000,041000,041100,
373,7041100029,Maestría en Valuación,Maestría,041100,040000,041000,041100,
374,7041200034,Maestría en Dirección de Mercadotecnia,Maestría,041200,040000,041000,041200,
375,7041200042,Maestría en Mercadotecnia,Maestría,041200,040000,041000,041200,
376,7041300021,Maestría en Finanzas,Maestría,041300,040000,041000,041300,
377,7041300024,Maestría en Finanzas Empresariales,Maestría,041300,040000,041000,041300,
378,7041300082,Maestría en Finanzas para el Desarrollo Sostenible,Maestría,041300,040000,041000,041300,
379,7041400008,Maestría en Análisis Tributario,Maestría,041400,040000,041000,041400,
380,7041400009,Maestría en Auditoría,Maestría,041400,040000,041000,041400,
381,7041400028,Maestría en Impuestos,Maestría,041400,040000,041000,041400,
382,7041400048,Maestría en Estudios Fiscales,Maestría,041400,040000,041000,041400,
383,7042000002,Maestría en Administración,Maestría,042000,040000,042000,042000,
384,7042100015,Maestría en Administración y Gestión Regional,Maestría,042100,040000,042000,042100,
385,7042100033,Maestría en Administración de Negocios,Maestría,042100,040000,042000,042100,
386,7042100129,Maestría en Dirección Estratégica de la Calidad,Maestría,042100,040000,042000,042100,
387,7042100177,Maestría en Generación y Gestión de la Innovación,Maestría,042100,040000,042000,042100,
388,7042100268,Maestría en Gestión del Capital Humano y Desarrollo Organizacional,Maestría,042100,040000,042000,042100,
389,7042100311,Maestría en Desarrollo y Dirección de la Innovación,Maestría,042100,040000,042000,042100,
390,7042200008,Maestría en Desarrollo Sustentable y Turismo,Maestría,042200,040000,042000,042200,
391,7042300011,Maestría en Gestión de Gobiernos Locales,Maestría,042300,040000,042000,042300,
392,7042300030,Maestría en Gestión de Servicios Públicos en Ambientes Virtuales,Maestría,042300,040000,042000,042300,
393,7042300031,Maestría en Gestión Pública,Maestría,042300,040000,042000,042300,
394,7042300040,Maestría en Gobierno Electrónico,Maestría,042300,040000,042000,042300,
395,7042300054,"Maestría en Ciencias para el Desarrollo, la Sustentabilidad y el Turismo",Maestría,042300,040000,042000,042300,
396,7042500034,Maestría en Gestión de la Calidad y Seguridad en los Servicios de Salud,Maestría,042500,040000,042000,042500,
397,7042500053,Maestría en Administración de Instituciones de Salud,Maestría,042500,040000,042000,042500,
398,7042500062,Maestría en Gerencia de Servicios de Salud,Maestría,042500,040000,042000,042500,
399,7042500117,Maestría en Gestión y Desarrollo Cultural,Maestría,042500,040000,042000,042500,
400,7051100007,Maestría en Ciencias Biológicas,Maestría,051100,050000,051000,051100,
401,7051200018,Maestría en Farmacología,Maestría,051200,050000,051000,051200,
402,7051200022,Maestría en Ciencias en Biología Molecular en Medicina,Maestría,051200,050000,051000,051200,
403,7051300013,Maestría en Ciencias en Biosistemática y Manejo de Recursos Naturales y Agrícolas,Maestría,051300,050000,051000,051300,
404,7051300018,Maestría en Ciencias en Manejo de Recursos Naturales,Maestría,051300,050000,051000,051300,
405,7051300079,Maestría en Ciencias en Ecología y Manejo de Recursos Costeros y Marinos,Maestría,051300,050000,051000,051300,
406,7051300093,"Maestría en Ciudad, Cambio Climático y Resiliencia",Maestría,051300,050000,051000,051300,
407,7052000001,Maestría en Ciencias,Maestría,052000,050000,052000,052000,
408,7052100009,Maestría en Ciencias en Física,Maestría,052100,050000,052000,052100,
409,7052100021,Maestría en Ciencias Físico Matemáticas,Maestría,052100,050000,052000,052100,
410,7052100029,Maestría en Ciencias en Óptica y Fotónica,Maestría,052100,050000,052000,052100,2024-2025
411,7052200003,Maestría en Ciencia de Materiales,Maestría,052200,050000,052000,052200,
412,7052200006,Maestría en Ciencias en Química,Maestría,052200,050000,052000,052200,
413,7052200016,Maestría en Ciencia e Ingeniería de Materiales,Maestría,052200,050000,052000,052200,
414,7052200018,Maestría en Ciencias en Ingeniería Química,Maestría,052200,050000,052000,052200,
415,7052300003,Maestría en Ciencias de la Tierra,Maestría,052300,050000,052000,052300,
416,7052300006,Maestría en Ciencias en Geofísica,Maestría,052300,050000,052000,052300,
417,7052300025,Maestría en Ciencias en Hidrometeorología,Maestría,052300,050000,052000,052300,
418,7052300035,Maestría en Geología,Maestría,052300,050000,052000,052300,
419,7053100007,Maestría en Ciencias en Matemáticas,Maestría,053100,050000,053000,053100,
420,7053100018,Maestría en Ciencias con Orientación en Ciencias Exactas e Ingenierías,Maestría,053100,050000,053000,053100,
421,7061000002,Maestría en Computación Aplicada,Maestría,061000,060000,061000,061000,
422,7061000012,Maestría en Ciencia de los Datos,Maestría,061000,060000,061000,061000,
423,7061100016,Maestría en Cómputo Paralelo,Maestría,061100,060000,061000,061100,
424,7061300005,Maestría en Ingeniería de Software,Maestría,061300,060000,061000,061300,
425,7061300011,Maestría en Sistemas de Información,Maestría,061300,060000,061000,061300,
426,7061300057,Maestría en Ingeniería y Ciencia De Datos,Maestría,061300,060000,061000,061300,
427,7062000007,Maestría en Ciencias en Bioingeniería y Cómputo Inteligente,Maestría,062000,060000,062000,062000,
428,7062200028,Mtría en Ingeniería de Desarrollos Tecnológicos,Maestría,062200,060000,062000,062200,
429,7062200049,Maestría en Tecnologías de Información,Maestría,062200,060000,062000,062200,
430,7062200074,Maestría en Cómputo Aplicado,Maestría,062200,060000,062000,062200,
431,7071000033,Maestría en Ciencias en Ingeniería del Agua y la Energía,Maestría,071000,070000,071000,071000,
432,7071000035,Maestría en Ingeniería en Energías Renovables,Maestría,071000,070000,071000,071000,
433,7071200009,Maestría en Ciencias en Ingeniería Eléctrica,Maestría,071200,070000,071000,071200,
434,7071200021,Maestría en Ingeniería del Agua y la Energía,Maestría,071200,070000,071000,071200,
435,7071300003,Maestría en Ingeniería Mecatrónica,Maestría,071300,070000,071000,071300,
436,7071300026,Maestría en Ciencias en Ingeniería Electrónica y Computación,Maestría,071300,070000,071000,071300,
437,7071300053,Maestría en Ciencias en Robótica e Inteligencia Artificial,Maestría,071300,070000,071000,071300,
438,7071400012,Maestría en Ciencias en Procesos Biotecnológicos,Maestría,071400,070000,071000,071400,
439,7071500006,Maestría en Proyectos Tecnológicos,Maestría,071500,070000,071000,071500,
440,7071600009,Maestría en Protección Ambiental,Maestría,071600,070000,071000,071600,
441,7071600020,Maestría en Ciencia de Productos Forestales,Maestría,071600,070000,071000,071600,
442,7071700001,Maestría en Ingeniería de Proyectos,Maestría,071700,070000,071000,071700,
443,7071700002,Maestría en Sistemas de Calidad,Maestría,071700,070000,071000,071700,
444,7071700009,Maestría en Análisis de Sistemas Industriales,Maestría,071700,070000,071000,071700,
445,7072100008,Maestría en Ciencias de los Alimentos,Maestría,072100,070000,072000,072100,
446,7072100012,Maestría en Ciencias en Microbiología e Inocuidad de Alimentos,Maestría,072100,070000,072000,072100,
447,7073100005,Maestría en Desarrollo Local y Territorio,Maestría,073100,070000,073000,073100,
448,7073100051,Maestría en Urbanismo y Desarrollo,Maestría,073100,070000,073000,073100,
449,7073100082,Maestría en Urbanismo y Territorio,Maestría,073100,070000,073000,073100,
450,7073100088,Maestría en Ciencias de la Arquitectura,Maestría,073100,070000,073000,073100,
451,7073100089,Maestría en Procesos y Expresión Gráfica en la Proyectación Arquitectónica-Urbana,Maestría,073100,070000,073000,073100,
452,7073200013,Maestría en Ingeniería Civil,Maestría,073200,070000,073000,073200,2024-2025
453,7081000006,Maestría en Tecnología de Semillas,Maestría,081000,080000,081000,081000,
454,7081100023,Maestría en Ciencias en Nutrición Animal,Maestría,081100,080000,081000,081100,
455,7081100033,Maestría en Ciencias Pecuarias,Maestría,081100,080000,081000,081100,
456,7081100051,Maestría en Agricultura Protegida,Maestría,081100,080000,081000,081100,
457,7081100056,Maestría Interinstitucional en Producción Pecuaria,Maestría,081100,080000,081000,081100,
458,7081100068,Maestría en Produccion Animal Sustentable,Maestría,081100,080000,081000,081100,
459,7081100072,Maestría en Ciencias Agrícolas y Forestales,Maestría,081100,080000,081000,081100,
460,7081100073,Maestría en Ciencias Agropecuarias,Maestría,081100,080000,081000,081100,
461,7081100078,Maestría en Ciencias con Orientación en Ciencias Biológicas y Agropecuarias,Maestría,081100,080000,081000,081100,
462,7081100105,Maestría en Producción Apícola,Maestría,081100,080000,081000,081100,2024-2025
463,7091316004,"Maestría en Nutrición Humana, Orientación Materno Infantil",Maestría,091316,090000,091000,091300,
464,7091325001,Maestría en Ciencias de la Salud en el Trabajo,Maestría,091325,090000,091000,091300,
465,7091345002,Maestría en Ciencias de la Salud de la Adolescencia y la Juventud,Maestría,091345,090000,091000,091300,
466,7091345005,Maestría en Ciencias Médicas,Maestría,091345,090000,091000,091300,
467,7092208001,Maestría en Enfermería Gerencial,Maestría,092208,090000,092000,092200,
468,7093100003,Maestría en Ciencias Odontológicas,Maestría,093100,090000,093000,093100,
469,7093207003,Maestría en Patología y Medicina Bucal,Maestría,093207,090000,093000,093200,
470,7094200035,Maestría en Ciencia del comportamiento con orientación en alimentación y nutrición,Maestría,094200,090000,094000,094200,
471,7095000001,Maestría en Investigación Clínica,Maestría,095000,090000,095000,095000,
472,7095000011,Maestría en Microbiología Médica,Maestría,095000,090000,095000,095000,
473,7095200012,Maestría en Ciencias Biomédicas,Maestría,095200,090000,095000,095200,
474,7095300001,Maestría en Química Clínica,Maestría,095300,090000,095000,095300,
475,7095400007,Maestría en Ciencias Biofarmacéuticas,Maestría,095400,090000,095000,095400,2024-2025
476,7095600007,Maestría en Ciencias de la Salud Ambiental,Maestría,095600,090000,095000,095600,
477,7095600015,Maestría en Ciencias de la Salud Pública,Maestría,095600,090000,095000,095600,
478,7095600030,Maestría en Salud Pública,Maestría,095600,090000,095000,095600,
479,7095600046,Maestría en Ciencias Socio Médicas,Maestría,095600,090000,095000,095600,
480,7095600068,Maestría en Educación en Ciencias de la Salud,Maestría,095600,090000,095000,095600,
481,7101000006,Maestría en Actividad Física y Estilo de Vida,Maestría,101000,100000,101000,101000,
482,7101500016,Maestría en Ciencias en Inocuidad Alimentaria,Maestría,101500,100000,101000,101500,
483,7102100006,"Maestría en Movilidad Urbana, Transporte y Territorio",Maestría,102100,100000,102000,102100,
484,7103100003,Maestría en Ergonomía,Maestría,103100,100000,103000,103100,
485,7103100010,Maestría en Gestión de la Seguridad y Salud en el Trabajo,Maestría,103100,100000,103000,103100,
486,8011000006,Doctorado en Cognición y Aprendizaje,Doctorado,011000,010000,011000,011000,
487,8011400005,Doctorado en Sistemas y Ambientes Educativos,Doctorado,011400,010000,011000,011400,
488,8011500003,Doctorado en Educación,Doctorado,011500,010000,011000,011500,
489,8021000010,Doctorado en Arte y Cultura,Doctorado,021000,020000,021000,021000,
490,8021000011,Doctorado en Gestión de la Cultura,Doctorado,021000,020000,021000,021000,
491,8022000001,Doctorado en Humanidades,Doctorado,022000,020000,022000,022000,
492,8022300004,Doctorado en Letras,Doctorado,022300,020000,022000,022300,
493,8022300013,Doctorado en Estudios Literarios y Lingüísticos,Doctorado,022300,020000,022000,022300,
494,8022500004,Doctorado en Historia,Doctorado,022500,020000,022000,022500,
495,8031000001,Doctorado en Ciencias Sociales,Doctorado,031000,030000,031000,031000,
496,8031000021,"Doctorado en Desarrollo Humano, Educación e Interculturalidad",Doctorado,031000,030000,031000,031000,
497,8031100002,Doctorado en Ciencia del Comportamiento,Doctorado,031100,030000,031000,031100,
498,8031100011,Doctorado Interinstitucional,Doctorado,031100,030000,031000,031100,
499,8031100026,Doctorado en Psicología con Orientación en Calidad de Vida y Salud,Doctorado,031100,030000,031000,031100,
500,8031100040,Doctorado en Psicología de la Salud,Doctorado,031100,030000,031000,031100,
501,8031200023,Doctorado en Estudios Regionales,Doctorado,031200,030000,031000,031200,
502,8031300003,Doctorado en Ciencia Política,Doctorado,031300,030000,031000,031300,
503,8031300020,Doctorado en Políticas Públicas y Desarrollo,Doctorado,031300,030000,031000,031300,
504,8031300039,Doctorado en Gestión de Paz y Prevención de las Violencias,Doctorado,031300,030000,031000,031300,2024-2025
505,8031400004,Doctorado en Ciencias Económico Administrativas,Doctorado,031400,030000,031000,031400,
506,8031400010,Doctorado en Negocios y Estudios Económicos,Doctorado,031400,030000,031000,031400,
507,8031400014,Doctorado en Estudios Económicos,Doctorado,031400,030000,031000,031400,
508,8033100003,Doctorado en Derechos Humanos,Doctorado,033100,030000,033000,033100,
509,8033100009,Doctorado en Derecho,Doctorado,033100,030000,033000,033100,
510,8041400003,Doctorado en Estudios Fiscales,Doctorado,041400,040000,041000,041400,
511,8042000005,Doctorado en Ciencias de la Administración,Doctorado,042000,040000,042000,042000,
512,8042000014,Doctorado en Gestión y Negocios,Doctorado,042000,040000,042000,042000,
513,8042100049,Doctorado en Innovación para el Hábitat Sustentable,Doctorado,042100,040000,042000,042100,
514,8042100051,Doctorado en Innovación y Sustentabilidad en los Negocios,Doctorado,042100,040000,042000,042100,
515,8042200004,"Doctorado en Ciencias para el Desarrollo, la Sustentabilidad y el Turismo",Doctorado,042200,040000,042000,042200,
516,8042500005,Doctorado en Gestión de la Educación Superior,Doctorado,042500,040000,042000,042500,
517,8051100004,Doctorado en Ciencias Biológicas,Doctorado,051100,050000,051000,051100,
518,8051100012,Doctorado en Genética Humana,Doctorado,051100,050000,051000,051100,
519,8051100024,Doctorado en Ciencias en Ecofisiología y Recursos Genéticos,Doctorado,051100,050000,051000,051100,
520,8051200017,Doctorado en Farmacología,Doctorado,051200,050000,051000,051200,
521,8051200020,Doctorado en Ciencias en Biología Molecular en Medicina,Doctorado,051200,050000,051000,051200,
522,8051200038,Doctorado en Ciencias en Bioquímica Molecular y Traslacional,Doctorado,051200,050000,051000,051200,2024-2025
523,8051300007,"Doctorado en Ciencias en Biosistemática, Ecología y Manejo de Recursos Naturales y Agrícolas",Doctorado,051300,050000,051000,051300,
524,8051300013,Doctorado en Ciencias para el Desarrollo Sustentable,Doctorado,051300,050000,051000,051300,
525,8052000002,Doctorado en Ciencias,Doctorado,052000,050000,052000,052000,
526,8052000007,Doctorado en Ciencias en Microbiología y la Biotecnología Molecular,Doctorado,052000,050000,052000,052000,
527,8052100009,Doctorado en Ciencias en Física,Doctorado,052100,050000,052000,052100,
528,8052100019,Doctorado en Ciencias Físico Matemáticas,Doctorado,052100,050000,052000,052100,
529,8052200001,Doctorado en Ciencia de Materiales,Doctorado,052200,050000,052000,052200,
530,8052200009,Doctorado en Ciencias en Química,Doctorado,052200,050000,052000,052200,
531,8052200018,Doctorado en Ciencias en Ingeniería Química,Doctorado,052200,050000,052000,052200,
532,8052200023,Doctorado en Ciencia de Biomateriales Sustentables,Doctorado,052200,050000,052000,052200,
533,8052300012,Doctorado en Geografía y Ordenación Territorial,Doctorado,052300,050000,052000,052300,
534,8052300021,Doctorado en Geología,Doctorado,052300,050000,052000,052300,
535,8053100005,Doctorado en Ciencias en Matemáticas,Doctorado,053100,050000,053000,053100,
536,8061100020,Doctorado en Ciencias en Inteligencia Computacional,Doctorado,061100,060000,061000,061100,
537,8062200001,Doctorado en Ingeniería y Tecnología,Doctorado,062200,060000,062000,062200,
538,8062200005,Doctorado en Tecnologías de Información,Doctorado,062200,060000,062000,062200,
539,8071000002,Doctorado en Ciencia y Tecnología,Doctorado,071000,070000,071000,071000,
540,8071000012,Doctorado en Ciencias en Ingeniería,Doctorado,071000,070000,071000,071000,
541,8071200008,Doctorado en Agua y Energía,Doctorado,071200,070000,071000,071200,
542,8071300016,Doctorado en Ciencias de la Electrónica y la Computación,Doctorado,071300,070000,071000,071300,
543,8071400003,Doctorado en Ciencias en Procesos Biotecnológicos,Doctorado,071400,070000,071000,071400,
544,8072100013,Doctorado en Ciencias de la Nutrición Traslacional,Doctorado,072100,070000,072000,072100,
545,8072300004,Doctorado en Ciencia e Ingeniería de Materiales,Doctorado,072300,070000,072000,072300,
546,8073100010,"Doctorado en Ciudad, Territorio y Sustentabilidad",Doctorado,073100,070000,073000,073100,
547,8081100028,Doctorado en Ciencias Agrícolas y Forestales,Doctorado,081100,080000,081000,081100,
548,8081100033,Doctorado en Ciencias con Orientación en Ciencias Biológicas y Agropecuarias,Doctorado,081100,080000,081000,081100,
549,8091100003,Doctorado en Ciencias de la Salud Ocupacional,Doctorado,091100,090000,091000,091100,
550,8091325001,Doctorado en Ciencias de la Salud en el Trabajo,Doctorado,091325,090000,091000,091300,
551,8091345002,Doctorado en Ciencias de la Salud Orientación en Investigación Clínica,Doctorado,091345,090000,091000,091300,
552,8091345005,Doctorado en Investigación Clínica,Doctorado,091345,090000,091000,091300,
553,8091345016,Doctorado en Investigación Multidisciplinaria en Salud,Doctorado,091345,090000,091000,091300,
554,8094200006,Doctorado en Ciencia del comportamiento con orientación en alimentación y nutrición,Doctorado,094200,090000,094000,094200,
555,8095000001,Doctorado en Ciencias Socio Médicas,Doctorado,095000,090000,095000,095000,
556,8095000003,Doctorado en Microbiología Médica,Doctorado,095000,090000,095000,095000,
557,8095200001,Doctorado en Biociencias,Doctorado,095200,090000,095000,095200,
558,8095200003,Doctorado en Ciencias Biomédicas,Doctorado,095200,090000,095000,095200,
559,8095600001,Doctorado en Ciencias de la Salud Pública,Doctorado,095600,090000,095000,095600,
560,8102100001,"Doctorado en Movilidad Urbana, Transporte y Territorio",Doctorado,102100,100000,102000,102100,
